Year-State,Inactive-Female,Inactive-Male,Inactive-Overall,Obese-Female,Obese-Male,Obese-Overall,Diabetic-Female,Diabetic-Male,Diabetic-Overall,Stroke-Female,Stroke-Male,Stroke-Overall,Coronary Disease-Female,Coronary Disease-Male,Coronary Disease-Overall,Heart Attack-Female,Heart Attack-Male,Heart Attack-Overall,Major CV Disease-Female,Major CV Disease-Male,Major CV Disease-Overall,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2011-AL,65.7,70.6,68.0,32.9,32.9,32.9,11.4,10.4,10.8,3.9,4.6,4.2,4.0,6.2,5.0,3.0,6.4,9.9,8.3,11.8,9.9,24.3,21.0,28.0,50.6,58.8,41.5,25.1,20.1,30.5
2011-AK,75.8,79.8,77.9,27.6,28.6,28.1,8.6,8.1,8.4,2.8,2.5,2.7,2.5,3.2,2.9,2.9,4.2,6.5,6.2,6.8,6.5,22.9,23.0,22.9,49.1,52.2,46.2,27.9,24.9,30.8
2011-AZ,75.9,76.3,76.1,26.7,24.9,25.7,8.1,10.0,9.0,2.4,3.3,2.8,2.9,4.3,3.5,2.9,5.1,7.8,6.5,9.4,7.8,19.3,17.5,21.0,55.9,61.3,50.3,24.9,21.1,28.7
2011-AR,67.2,72.9,70.0,32.4,31.0,31.6,9.7,11.2,10.4,3.6,3.7,3.7,4.3,6.1,5.1,4.5,7.4,9.8,8.2,11.6,9.8,27.0,25.2,28.9,47.9,53.0,42.6,25.1,21.8,28.6
2011-CA,80.1,81.8,80.9,25.1,23.9,24.6,7.9,9.2,8.4,2.1,2.3,2.2,2.6,4.7,3.5,2.2,4.6,6.6,5.3,8.1,6.6,13.7,10.0,17.3,62.5,70.1,54.8,23.9,19.9,27.9
2011-CO,83.1,84.1,83.6,20.7,21.7,21.2,5.8,7.4,6.5,1.8,2.0,1.9,1.9,3.1,2.4,1.7,3.7,5.2,4.1,6.5,5.2,18.3,15.2,21.3,54.6,60.1,49.2,27.1,24.8,29.5
2011-CT,74.0,76.5,75.2,23.0,25.4,24.3,7.4,9.4,8.3,2.2,1.8,2.0,2.3,3.7,2.9,2.1,4.1,6.2,5.2,7.5,6.2,17.1,15.4,19.0,55.1,57.7,52.2,27.8,26.9,28.8
2011-DE,73.6,73.8,73.7,29.2,29.4,29.2,8.2,9.3,8.7,2.9,3.1,3.0,2.7,4.1,3.4,2.6,4.3,7.7,6.4,9.2,7.7,21.8,18.3,25.5,49.9,54.7,44.7,28.3,27.0,29.7
2011-DC,78.5,81.7,80.0,29.4,20.0,25.1,9.1,9.9,9.4,4.1,3.5,3.8,2.3,4.0,3.1,2.9,4.0,7.3,7.3,7.4,7.3,20.8,17.1,25.1,57.2,61.9,51.7,22.0,20.9,23.2
2011-FL,71.8,76.1,73.9,26.1,27.9,26.9,8.0,9.6,8.8,3.5,3.1,3.3,3.5,5.4,4.4,3.4,5.7,8.8,7.7,10.0,8.8,19.3,16.9,21.8,52.8,58.4,46.8,27.9,24.7,31.4
