Year-State,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2019-AL,20.2,18.3,22.4,55.5,61.9,48.3,24.3,19.7,29.4
2018-AL,19.2,17.3,21.3,56.2,62.6,49.0,24.7,20.2,29.6
2017-AL,20.9,18.7,23.4,55.7,63.2,47.3,23.4,18.1,29.3
2016-AL,21.5,20.0,23.3,54.6,62.1,46.3,23.9,17.9,30.4
2015-AL,21.4,19.2,23.8,55.7,62.2,48.6,22.9,18.6,27.6
2014-AL,21.1,19.0,23.5,54.3,61.6,46.3,24.6,19.4,30.2
2013-AL,21.5,18.2,25.1,55.1,62.5,47.1,23.4,19.3,27.9
2012-AL,23.8,21.4,26.4,53.1,59.5,46.3,23.1,19.2,27.4
2011-AL,24.3,21.0,28.0,50.6,58.8,41.5,25.1,20.1,30.5
2019-AK,17.4,15.7,19.0,56.8,62.0,52.0,25.9,22.4,29.0
2018-AK,19.1,17.3,20.8,56.8,60.0,53.6,24.1,22.7,25.7
2017-AK,21.0,17.1,24.2,53.4,61.2,46.7,25.6,21.6,29.1
2016-AK,19.0,16.6,21.2,54.0,58.8,49.6,27.0,24.6,29.2
2015-AK,19.1,18.5,19.6,54.1,56.9,51.6,26.8,24.6,28.8
2014-AK,19.9,18.4,21.3,54.4,58.3,50.9,25.7,23.3,27.9
2013-AK,22.6,22.2,22.9,50.7,53.4,48.2,26.7,24.4,28.9
2012-AK,20.5,18.8,22.1,53.8,57.9,50.0,25.7,23.3,27.9
2011-AK,22.9,23.0,22.9,49.1,52.2,46.2,27.9,24.9,30.8
2019-AZ,14.9,12.5,17.4,58.7,64.7,52.5,26.4,22.8,30.1
2018-AZ,14.0,12.6,15.5,59.7,64.9,54.5,26.3,22.5,30.0
2017-AZ,15.6,12.9,18.3,59.8,65.5,53.8,24.7,21.6,27.9
2016-AZ,14.7,12.1,17.5,59.8,66.2,53.2,25.5,21.7,29.4
2015-AZ,14.0,12.0,16.2,60.9,67.1,54.5,25.0,20.9,29.3
2014-AZ,16.5,13.9,19.2,57.0,63.9,49.8,26.5,22.2,31.0
2013-AZ,16.3,13.5,19.3,57.6,64.0,51.0,26.0,22.5,29.7
2012-AZ,17.1,14.7,19.6,56.0,62.7,49.1,26.9,22.6,31.3
2011-AZ,19.3,17.5,21.0,55.9,61.3,50.3,24.9,21.1,28.7
2019-AR,20.2,18.8,21.7,54.3,59.9,48.3,25.5,21.3,30.0
2018-AR,22.7,21.7,23.9,53.0,57.8,47.8,24.3,20.6,28.4
2017-AR,22.3,21.6,22.8,52.2,57.5,46.7,25.5,20.8,30.5
2016-AR,23.6,22.5,24.8,51.9,57.2,46.4,24.5,20.4,28.9
2015-AR,24.9,22.1,27.8,51.1,57.5,44.3,24.1,20.4,27.9
2014-AR,24.7,23.4,26.2,50.0,56.3,43.4,25.2,20.3,30.4
2013-AR,25.9,25.2,26.7,49.1,56.2,41.4,25.0,18.5,31.9
2012-AR,25.0,22.8,27.5,50.8,56.9,44.3,24.1,20.4,28.2
2011-AR,27.0,25.2,28.9,47.9,53.0,42.6,25.1,21.8,28.6
2019-CA,10.0,7.4,12.7,67.0,73.9,59.9,23.0,18.7,27.4
2018-CA,11.2,7.8,14.8,66.7,74.3,58.9,22.1,18.0,26.3
